	RF Time	For Pwr (W) 	Refl Pwr (W)	Cycles Remaining	Recipe	Loop
	 2.7	 0.0	 0.0	134	Plasma Al2O3 STANDARD	
	 5.7	 0.0	 0.0	134	Plasma Al2O3 STANDARD	
	 8.7	 0.0	 0.0	134	Plasma Al2O3 STANDARD	
	11.7	 0.0	 0.0	134	Plasma Al2O3 STANDARD	
	14.7	 0.0	 0.0	134	Plasma Al2O3 STANDARD	
	17.7	 0.0	 0.0	134	Plasma Al2O3 STANDARD	
	20.7	 0.0	 0.0	134	Plasma Al2O3 STANDARD	
	23.7	 0.0	 0.0	134	Plasma Al2O3 STANDARD	
	26.7	 0.0	 0.0	134	Plasma Al2O3 STANDARD	
	29.7	 0.0	 0.0	134	Plasma Al2O3 STANDARD	
	32.7	 0.0	 0.0	134	Plasma Al2O3 STANDARD	
	35.7	 0.0	 0.0	134	Plasma Al2O3 STANDARD	
	38.7	 0.0	 0.0	134	Plasma Al2O3 STANDARD	
	41.7	 0.0	 0.0	134	Plasma Al2O3 STANDARD	
	44.7	 0.0	 0.0	134	Plasma Al2O3 STANDARD	
	47.7	 0.0	 0.0	134	Plasma Al2O3 STANDARD	
	50.7	 0.0	 0.0	134	Plasma Al2O3 STANDARD	
	53.7	 0.0	 0.0	134	Plasma Al2O3 STANDARD	
	56.7	 0.0	 0.0	134	Plasma Al2O3 STANDARD	
	59.7	 0.0	 0.0	134	Plasma Al2O3 STANDARD	
	62.7	 0.0	 0.0	134	Plasma Al2O3 STANDARD	
	65.7	 0.0	 0.0	134	Plasma Al2O3 STANDARD	
	68.7	 0.0	 0.0	134	Plasma Al2O3 STANDARD	
	71.7	 0.0	 0.0	134	Plasma Al2O3 STANDARD	
	74.7	 0.0	 0.0	134	Plasma Al2O3 STANDARD	
	77.7	 0.0	 0.0	134	Plasma Al2O3 STANDARD	
	80.7	 0.0	 0.0	134	Plasma Al2O3 STANDARD	
	83.7	 0.0	 0.0	134	Plasma Al2O3 STANDARD	
	86.7	 0.0	 0.0	134	Plasma Al2O3 STANDARD	
	89.7	 0.0	 0.0	134	Plasma Al2O3 STANDARD	
	92.7	 0.0	 0.0	134	Plasma Al2O3 STANDARD	
	95.7	 0.0	 0.0	134	Plasma Al2O3 STANDARD	
	98.7	 0.0	 0.0	134	Plasma Al2O3 STANDARD	
	101.7	 0.0	 0.0	134	Plasma Al2O3 STANDARD	
	104.7	 0.0	 0.0	134	Plasma Al2O3 STANDARD	
	107.7	 0.0	 0.0	134	Plasma Al2O3 STANDARD	
	110.7	 0.0	 0.0	134	Plasma Al2O3 STANDARD	
	113.7	 0.0	 0.0	134	Plasma Al2O3 STANDARD	
	116.7	 0.0	 0.0	134	Plasma Al2O3 STANDARD	
	119.7	 0.0	 0.0	134	Plasma Al2O3 STANDARD	
	122.7	 0.0	 0.0	134	Plasma Al2O3 STANDARD	
	125.7	 0.0	 0.0	134	Plasma Al2O3 STANDARD	
	128.7	 0.0	 0.0	134	Plasma Al2O3 STANDARD	
	131.7	 0.0	 0.0	134	Plasma Al2O3 STANDARD	
	134.7	 0.0	 0.0	134	Plasma Al2O3 STANDARD	
	137.7	 0.0	 0.0	134	Plasma Al2O3 STANDARD	
	140.7	 0.0	 0.0	134	Plasma Al2O3 STANDARD	
	143.7	 0.0	 0.0	134	Plasma Al2O3 STANDARD	
	146.7	 0.0	 0.0	134	Plasma Al2O3 STANDARD	
	149.7	 0.0	 0.0	134	Plasma Al2O3 STANDARD	
	152.7	 0.0	 0.0	134	Plasma Al2O3 STANDARD	
	155.7	 0.0	 0.0	134	Plasma Al2O3 STANDARD	
	158.7	 0.0	 0.0	134	Plasma Al2O3 STANDARD	
	161.7	 0.0	 0.0	134	Plasma Al2O3 STANDARD	
	164.7	 0.0	 0.0	134	Plasma Al2O3 STANDARD	
